likes,weburl,hashtags,description
20,https://www.instagram.com/p/Cp8WQdoOh-j/,"mkefilm, chitchat, cafescene, blackandwhitefilm, behindthescenes, moodlighting, filmmaking, lonesome, lonesomefilm, quietonset, setlighting","a man and woman sitting at a table in a restaurant with a brick wall behind them and a television on the wall, Donald Sherwood, film noir, a black and white photo, new objectivity"
49,https://www.instagram.com/p/Cp8N_OBSQbS/,"lightingtechnician, gripdept, behindthescenes, filmmaking, gaffer, gafferlife, filmmakinglife, lightingsetup, lightingdept, cinematography, filmset, gripdepartment, setlighting, keygrip, griptips, filmmaker, cinematographylife, doplife, filmlighting, filmmakerslife, lightingtech, lightingbreakdown, practicallighting, filmlights, gripandelectric, filmlight","a man is looking at something on the screen of a computer screen with a diagram of a room and a lamp, Chris LaBrooy, anamorphic lens flare, computer graphics, de stijl"
20,https://www.instagram.com/p/Cp78nU-qCLe/,"filmmaking, ishootfilm, съёмка, shittyrigs, кино, light, filmcamera, grip, kyiv, bts, cinema, filmisnotdead, фільмування, filmphotography, filmset, setlighting, filmcommunity, filmsetlive, filmakrs, behindthescene, съёмкакино, movie, creator, закадром, lightboyscrew, television, behindthecamera, lighting, filmlight, film","a man with a mustache standing in front of a woman with long hair and a mustache on a screen, Abdullah Gërguri, movie still, a screenshot, qajar art"
21,https://www.instagram.com/p/Cp7m8VFNJ9I/,"behindthescenes, lavitadiunmontatorevideo, videoproduction, filming, videomakersitalia, manfrottoimaginemore, godoxusergroup, videografi, commercial, manfrotto, setlighting, lifeonset, filmmaker, learnfilmmaking, cinematographylife, setlife, filmmakersitalia, panasonic, videography, directing, cinematografo, godoxindia, filmlights, filmmakersofinstagram, videocommercial, gh6, dplife, manfrottotripod, godoxlighting, cgil","a man in a yellow jacket is standing in front of a camera and a blue backdrop with a green light, Bernard Accama, vfx, a stock photo, video art"
29,https://www.instagram.com/p/Cp7UUX7obyN/,"ledtube, matthewsgrip, tubesupport, setlighting, lightubes","a close up of a metal object with a black background and a black background with a white stripe and a black background with a red stripe, Andries Stock, cybernetics, a 3D render, precisionism"
46,https://www.instagram.com/p/Cp7Hw8Gq41x/,"gafferslife, cameraman, filmelectricians, gaffer, life_on_set, gafferlife, filmcrew, cinematographer, makingmovies, behindtheshene, mylife, filmset, setlighting, lifeonset, cinematographylife, filmlighting, filmlife, lightingsavedmylife, filmlights, backstages, filmlightingelectricians, biglights, cinecittà, onset, filmproduction, filmspark","a building with a lot of windows and a door and some trees in front of it and a sidewalk, Correggio, modern art deco, an art deco painting, barbizon school"
4,https://www.instagram.com/p/Cp7B_UmszWg/,"litepanel1x1ls, exaluxrx200n, fiilexp3color, creamsourcevortex8, hudsonspider","a man in a suit and white shirt is looking at something in a dark room with a light on, Dan Scott, anamorphic lens, a screenshot, mannerism"
8,https://www.instagram.com/p/Cp6Qch-Ou_w/,"justgoshoot, lightsetup, cinematic, videoproduction, cinematographer, cameralifestyle, btsimages, bts, cinematography, lightscameramagic, learnlighting, onsetlighting, videogear, setlighting, filmmaker, filmlighting, behindthelens, advertising, videostills, blackmagicdesign, filmlights, cameraporn, framegrab, filmgear, camerasetup, behindthecamera, letscolaab, onset, camerawork, lightscameraaction","a girl with a red headband is looking at the camera and a diagram of the room in the background, Chinwe Chukwuogo-Roy, vfx, a screenshot, neoplasticism"
15,https://www.instagram.com/p/Cp566hFPhhN/,"setlife, directorofphotography, cinematography, gaffer, moody, moodygrams, lighting, setlighting, filmmaker, cinebible","a long narrow room with shelves full of boxes and a person standing in the middle of the room looking at the camera, Enguerrand Quarton, ektachrome photograph, a screenshot, neoplasticism"
15,https://www.instagram.com/p/Cp5xz4BK-8N/,"shapinglight⁠, behindthescenes, filmmaking, gaffer, gafferlife, filmcrew, lightingtips, lightmodifiers, paintingwithlight, paintwithlight, filmset, cinematicmodeon, setlighting, arrilighting, cinemaphotography, doplife, lightingsetups, filmlighting, filmproductionlife, filmlights, cinebible, filmproduction","a large white sheet being lifted by a crane in a warehouse with windows and a white sheet being lifted by a crane, Cerith Wyn Evans, anamorphic lens flare, a still life, video art"
34,https://www.instagram.com/p/Cp5tGj7t7sI/,"visualcreatives, project, productioncompany, behindthescenes, colorcorrection, portlandoregon, bts, portland, videoproduction, cinematographer, supportlocal, musicvideo, cinematography, filmdirector, pdx, musicvideos, creative, filmediting, setlighting, artists, filmcommunity, bookingsopen, pdxfilm, videoproductioncompany, onset, filmproduction, film","a man is filming a band in a purple room with a purple light behind him and a camera man is recording, Andrew Boog Faithfull, anamorphic lens flare, a screenshot, video art"
8,https://www.instagram.com/p/Cp5nBy5ueS8/,"filmindustry, tvproduction, stagerentals, setlighting, nytaxcredit, filmnyc, mayorsofficeofmediaandentertainmentnyc, filmtaxcredit, led, easterneffects, filmcrew, productionlife, filmproduction, ledlights, ledlighting, nycproduction, easterneffectsinc, filmlocationsnyc, productionstudionewyork, gripandlighting, nycfilm, productionstudiobrooklyn, soundstage, productionnyc, madeinny, gafferlife, setlife, videostudiorentalnyc, lightscameraaction, newyorkcity","a group of people standing around a small cart with a cell phone in it's hand and a man in a hood on top of the cart, Everett Warner, ue 5, a renaissance painting, private press"
20,https://www.instagram.com/p/Cp5kIj1sbPy/,"machineafumee, filmlightingcrew, audiovisuel, behindthescenes, gaffer, gafferlife, aputurelights, light, frenchcinema, lightingsetup, cobaputure, tournage, courtmetrage, aputure, filmfrancais, filmset, setlighting, cinemafrancais, filmlighting, behindthelens, cinemagear, aputurelighting, filmlights, smokemachine, silencecatourne, setlightingcrew, lighting, cineroid","a woman is sitting on the floor in front of a camera and a man is standing behind her with a camera, Cerith Wyn Evans, professional lighting, a stock photo, video art"
28,https://www.instagram.com/p/Cp5hrv7p1fe/,"cinematographer, cinematography, filmlighting, c300mkiii, canoncanada, canonsumireprimes, onset, production, setlighting, canonsumire, creativebusiness","a man sitting in a chair playing a saxophone on a stage with a music stand in the background and a red curtain, Charles Angrand, anamorphic lens, a flemish Baroque, american barbizon school"
26,https://www.instagram.com/p/Cp5ctOmN_8h/,"vfxworld, filmcrew, cameracrew, filmeditor, vfxbreakdown, cinemacamera, moviemakers, filmmakerlife, filmset, setlighting, lifeonset, keygrip, filmediting, cinematographylife, filmaking, doplife, filmlighting, filmmakerslife, movieeffectsvfx, moviemaking, steadicam, visualeffects, tvproduction, griprigs, vfxstudio, filmproducer, productionlife, moviemaker, directorslife, makingofmovies","a truck with a trailer attached to it parked in front of a building with a sign that says getting ready for deliveries, Bedwyr Williams, vfx, a detailed matte painting, video art"
10,https://www.instagram.com/p/Cp5auJrNCqS/,"roma, setlife🎥, setlife, finepausamai, potd, potd📷, setlighting, geometricalabstraction, industrialphotography","a window with a grid pattern on it in a building with a skylight above it and a window below it, Bauhaus, open ceiling, a photo, light and space"
5,https://www.instagram.com/p/Cp5QESBqyFg/,"mediaproduction, filmmaking, gaffer, location, cinematographer, film_making, videographer, photographer, cinematography, filmmkrs, manfrotto, setlighting, photography, middleeast, indoor, cinema, avenger, egypt, filmlife, dp, equipments, cstand, atlas_for_media_services, lighting, outdoor, griprigs, video","a set of microphones and a speaker in a room with a neon sign that says, avengers maneto stand, Altichiero, anamorphic lens, a detailed matte painting, mannerism"
15,https://www.instagram.com/p/Cp5M7S7qq6L/,"filminspiration, filmindustry, filmdirector, setlighting, lightingdesign, cinegear, filmproductioncompany, moviemagic""#filmgear, filmequipmentrentals, filmcommunity, filmmakers, filmset, cinematographer, filmcrew, cameragear, filmstudents, filmphotography, filmschool, filmmaking, cinematography, filmlife, videoproduction, filmmakingtips, lightingsolutions","a man is filming a boat with a camera on a tripod and a camera on a tripod, Cedric Seaut (Keos Masons), canon eos c 3 0 0, a stock photo, american barbizon school"
47,https://www.instagram.com/p/Cp5KIhHK7Pc/,"filmproduction, lightingtechnician, 3dprinting, filmlightingcrew, filmelectricians, creamsource, gaffer, lightingtechnicianlondon, filmcrew, dop, lightingequipmentsales, filmuk, snoot, setlighting, creamsourcemicro, lightingforfilm, setlife, filmlighting, sparklife, filmequipment, bestboy, filmlightingelectricians, lightingdesign, lightingequipment, onset, lighting, lightingcrew, film","a large blue object is on a metal stand with a white background and a black box on top of it, Évariste Vital Luminais, anamorphic lens, a photocopy, photorealism"
44,https://www.instagram.com/p/Cp4-ImPMr_G/,"ledlighting, lighting, lightingdesign, filmmakers, filmlights, sourcemaker, led, filmindustry, productionlife, setlife, filmmaking, setlighting, filmset, cinematography, gaffer","a group of people sitting on top of a sandy hill next to a large balloon in the sky above them, Christo, volumetric, a detailed matte painting, serial art"
45,https://www.instagram.com/p/Cp4QvRlp53-/,"onset, warna, 1+1=1, catedral, istiqlal, gaffer, setlighting, cahaya, architecture, filmlight","a bunch of lights that are on a pole in the street with a sky background and some buildings in the background, Cerith Wyn Evans, anamorphic lens flare, a detailed matte painting, photorealism"
8,https://www.instagram.com/p/Cp3um2LoSWF/,"arri, potsdam_city_of_film, lighttruss, quentintarantino, lightrig, lovemyjob, inglouriousbasterds, makingmovies, germanmovie, blockbuster, setlighting, bradpitt, filmstudiobabelsberg, setlife, filmlighting, setlightingtechnician, welovetomakemovies, rigginglife, rigging, filmlightingelectricians, studiobabelsberg, onsetlife, onset","a man sitting in a chair smoking a cigarette in a room with other chairs and a sign on the wall, Enzo Cucchi, weta digital, a character portrait, barbizon school"
37,https://www.instagram.com/p/Cp3SJ1lrxR1/,"gafferslife, cameraman, filmelectricians, gaffer, life_on_set, gafferlife, filmcrew, cinematographer, theturist, makingmovies, behindtheshene, mylife, filmset, setlighting, lifeonset, cinematographylife, filmlighting, filmlife, lightingsavedmylife, filmlights, backstages, filmlightingelectricians, biglights, onset, filmproduction, filmspark","a man wearing a black shirt with the tourist venice 2010 on it's back and a camera behind him, Avgust Černigoj, vfx, a detailed matte painting, international typographic style"
21,https://www.instagram.com/p/Cp3FqYQBFJZ/,"visualcreatives, project, productioncompany, behindthescenes, colorcorrection, portlandoregon, bts, portland, videoproduction, cinematographer, supportlocal, musicvideo, cinematography, filmdirector, pdx, musicvideos, creative, filmediting, setlighting, artists, filmcommunity, bookingsopen, pdxfilm, videoproductioncompany, onset, filmproduction, film","a man is filming a group of people in a room with a camera and a tripod in front of him, Bedwyr Williams, vfx, a stock photo, american barbizon school"
3,https://www.instagram.com/p/Cp2_FPvMXvk/,,"a couple of lights that are on a wall near a plant and a mirror with a light on it, Évariste Vital Luminais, professional lighting, a stock photo, light and space"
50,https://www.instagram.com/p/Cp27XIpshU1/,"filmproduction, framez, photography, filmmakersworld, thisveryinstant, cinematic, picoftheday, cinematographer, stillfrommotion, cinematography, moodmagic, photographyeveriday, ontheafternoon, campari, camparispritz, setlighting, filmmaker, doplife, setlife, imaginarymagnitude, mooidrenthe, odtakeovers, cinebible, directorofphotography, art, framegrab, ethereal_moods, myfeatureshoot","a wine glass filled with a liquid being poured into it with a red liquid in it and a white background, Enguerrand Quarton, unreal engine 5 quality render, a computer rendering, video art"
29,https://www.instagram.com/p/Cp235raJzzP/,"vfxworld, vfxnews, gaffer, filmcrew, cameracrew, filmeditor, vfxbreakdown, cinemacamera, moviemakers, makingmovie, filmmakerlife, filmset, setlighting, lifeonset, keygrip, filmediting, doplife, filmlighting, setlightingtechnician, steadicam, tvproduction, filmsetlife, griprigs, vfxstudio, biglights, productionlife, filmgear, griplife, moviemaker, makingofmovies","a parking lot with a bunch of green gates in the middle of it and a blue sky in the background, Art Green, cinematic matte painting, a detailed matte painting, land art"
